,Temperature (F),Latitude,Longitude
Linxia,20.62,35.6,103.21
Stirion,21.88,38.4,22.72
Jiuquan,0.87,39.73,98.49
Yumen,3.48,40.29,97.04
Ayan,18.59,40.67,33.6
North Platte,24.98,41.12,-100.77
At-Bashi,20.84,41.17,75.81
Albany,24.66,42.65,-73.75
Vrangel,23.37,42.73,133.08
Hami,0.82,42.84,93.51
Preobrazheniye,14.46,42.9,133.91
Ammon,24.57,43.47,-111.97
Brandon,18.23,43.59,-96.57
Saint Anthony,23.63,43.97,-111.68
Manta,13.46,45.1,24.1
Saint-Philippe,19.15,45.36,-73.48
Baijiantan,-17.14,45.63,85.18
Mandalgovi,3.48,45.76,106.27
Miles City,24.08,46.41,-105.84
Moulins,24.8,46.57,3.33
Qiqihar,5.32,47.35,123.91
Wabana,17.6,47.63,-52.95
Torbay,17.6,47.66,-52.73
Zhezkazgan,-2.21,47.8,67.71
Roberval,-3.5,48.51,-72.22
Bulgan,-5.8,48.81,103.53
Mandal,-5.71,48.82,106.5
Albanel,-9.58,48.88,-72.44
Kalush,24.8,49.03,24.36
Darhan,-9.85,49.49,105.92
Geraldton,17.6,49.72,-86.95
Suhbaatar,10.49,50.23,106.21
Nizhniy Tsasuchey,8.61,50.52,115.13
Husavik,10.41,50.56,-96.99
Bichura,3.7,50.59,107.6
Gimli,10.41,50.63,-96.99
Astana,-7.61,51.13,71.43
Moose Factory,-9.41,51.26,-80.61
Belokurikha,-7.42,52.0,84.99
Aksu,14.0,52.04,76.93
Imeni Poliny Osipenko,-13.54,52.42,136.49
Bukachacha,-16.87,52.99,116.91
Shellbrook,8.6,53.22,-106.39
Mackay,24.82,53.65,-115.58
The Pas,15.8,53.82,-101.24
Amazar,-21.01,53.86,120.88
Zima,5.64,53.93,102.05
Poltavka,-14.93,54.36,71.76
Tupik,-22.27,54.43,119.94
La Ronge,21.2,55.1,-105.3
Tatarsk,1.23,55.22,75.96
Pokosnoye,1.23,55.53,101.05
Thompson,15.8,55.74,-97.86
Ust-Kut,1.67,56.78,105.75
Fort Nelson,17.6,58.81,-122.69
Nizhniy Kuranakh,-17.0,58.84,125.49
Tommot,-13.72,58.97,126.27
